      1.0  0.643857E-02  0.221583E+04  0.224889E+04
     10.0  0.640405E-01  0.715869E+03  0.708506E+03
     25.0  0.160263E+00  0.455294E+03  0.460173E+03
     50.0  0.320481E+00  0.333919E+03  0.344062E+03
    100.0  0.651730E+00  0.258604E+03  0.277971E+03
    150.0  0.101302E+01  0.234196E+03  0.254158E+03
    200.0  0.141975E+01  0.223901E+03  0.256432E+03
    250.0  0.187800E+01  0.224427E+03  0.261428E+03
    300.0  0.237827E+01  0.229080E+03  0.275847E+03
    350.0  0.289251E+01  0.237365E+03  0.272977E+03
    400.0  0.339063E+01  0.245927E+03  0.269215E+03
    450.0  0.384500E+01  0.259205E+03  0.257177E+03
    500.0  0.423400E+01  0.268604E+03  0.245386E+03
    550.0  0.454371E+01  0.280876E+03  0.230533E+03
    600.0  0.477404E+01  0.290599E+03  0.222350E+03
    650.0  0.493226E+01  0.304182E+03  0.208998E+03
    700.0  0.502809E+01  0.314173E+03  0.201117E+03
    750.0  0.507431E+01  0.325983E+03  0.188056E+03
    800.0  0.508378E+01  0.332655E+03  0.180269E+03
    850.0  0.506798E+01  0.340809E+03  0.170905E+03
    900.0  0.503745E+01  0.349221E+03  0.170659E+03
    950.0  0.499560E+01  0.348001E+03  0.174899E+03
   1000.0  0.495095E+01  0.363098E+03  0.173173E+03
   1100.0  0.486181E+01  0.371314E+03  0.175706E+03
   1200.0  0.478698E+01  0.379222E+03  0.169515E+03
   1250.0  0.475492E+01  0.381596E+03  0.181539E+03
   1300.0  0.472717E+01  0.386388E+03  0.183161E+03
   1400.0  0.468640E+01  0.386641E+03  0.182881E+03
   1500.0  0.466246E+01  0.390197E+03  0.184273E+03
   1600.0  0.465400E+01  0.394528E+03  0.186380E+03
   1700.0  0.465542E+01  0.392359E+03  0.196198E+03
   1750.0  0.466227E+01  0.392383E+03  0.195929E+03
   1800.0  0.467039E+01  0.394461E+03  0.195191E+03
   1900.0  0.469055E+01  0.384446E+03  0.201699E+03
   2000.0  0.471471E+01  0.390163E+03  0.196582E+03
